time/total_timesteps,time/fps,rollout/ep_rew_mean,time/time_elapsed,rollout/ep_len_mean,time/iterations,train/entropy_loss,train/loss,train/explained_variance,train/approx_kl,train/clip_range,train/n_updates,train/learning_rate,train/clip_fraction,train/policy_gradient_loss,train/value_loss
421888,480,418032.586,877,403.45,103,-1.3177779912948608,-0.005395212676376104,0.207250714302063,0.0009104922,0.05,4460,0.00025,0.185498046875,-0.003367752901976928,0.0041472091717878355
425984,483,539931.833,881,456.21,104,-1.2741684712469579,-0.0038909856230020523,0.8537534028291702,0.0011057274,0.05,4470,0.00025,0.1982421875,-0.003233094891766086,0.01553384512080811
430080,485,526336.1219999999,885,448.94,105,-1.2453742749989032,0.004173917695879936,0.9094203636050224,0.0009982588,0.05,4480,0.00025,0.187939453125,-0.005086070561083034,0.02548908325843513
434176,488,562079.4279999998,888,473.57,106,-1.3168478585779666,-0.004494598135352135,0.853410392999649,0.0011819087,0.05,4490,0.00025,0.2448974609375,-0.00531765439955052,0.004680303619534243
438272,491,674028.3289999999,892,509.52,107,-1.2487375862896442,0.0031028203666210175,0.8848929479718208,0.001313437,0.05,4500,0.00025,0.165478515625,-0.003284933205577545,0.01404597089276649
442368,493,697087.3620000001,896,528.9,108,-1.263798888772726,0.0007655946537852287,0.9188480004668236,0.0013192974,0.05,4510,0.00025,0.1936279296875,-0.004657909282832407,0.014179785980377346
446464,496,689964.168,900,503.69,109,-1.2467456810176372,0.003444166388362646,0.9413889311254025,0.00079552736,0.05,4520,0.00025,0.142431640625,-0.0025867897667922078,0.015890750143444165
450560,498,689964.168,903,503.69,110,-1.265460842102766,0.017739612609148026,0.9466477073729038,0.0010452451,0.05,4530,0.00025,0.2052734375,-0.0039773718162905425,0.04475395551417023
454656,501,812323.256,907,555.36,111,-1.2258607633411884,0.013104865327477455,0.017008602619171143,0.00057415315,0.05,4540,0.00025,0.1119140625,-0.0013320330370333977,0.028396529494784772
458752,503,848684.295,911,591.55,112,-1.3162835977971554,-0.004318077117204666,0.8965176492929459,0.001516816,0.05,4550,0.00025,0.250146484375,-0.006674840408959426,0.011136619043827522
462848,505,840093.985,915,596.81,113,-1.270260253548622,-0.001195223769173026,0.954914279282093,0.0021120808,0.05,4560,0.00025,0.287548828125,-0.004124298080569133,0.012203532468993217
466944,508,730558.127,918,563.28,114,-1.3060114905238152,-0.005021430552005768,0.9489037245512009,0.0015038361,0.05,4570,0.00025,0.2444091796875,-0.00504840036155656,0.0033556129499629607
471040,510,751600.935,922,522.4,115,-1.3109670646488667,-0.0004546339623630047,0.34994077682495117,0.00077011273,0.05,4580,0.00025,0.177490234375,-0.0021291802870109676,0.012691268179332837
475136,512,651290.887,926,491.92,116,-1.2844110004603864,-0.0026499335654079914,0.8320428133010864,0.0015185211,0.05,4590,0.00025,0.2174560546875,-0.004632485640468076,0.01137379974243231
479232,515,677067.3020000001,930,516.85,117,-1.2852582193911075,-0.003331273328512907,0.9665538296103477,0.0012613642,0.05,4600,0.00025,0.2448486328125,-0.004793519937084057,0.009145626264216843
483328,517,650135.707,934,501.89,118,-1.29835569486022,-0.00040717190131545067,0.8644215911626816,0.0012877102,0.05,4610,0.00025,0.2380615234375,-0.0048366806004196405,0.008642703798250296
487424,519,437880.5790000001,938,429.81,119,-1.2887649722397327,-0.00441764434799552,0.9126536846160889,0.0017036593,0.05,4620,0.00025,0.2599609375,-0.004823809355730191,0.007734661916038022
491520,521,455700.195,941,461.9,120,-1.2820343039929867,0.003950492944568396,0.9635753110051155,0.0011488926,0.05,4630,0.00025,0.23408203125,-0.004593858396401629,0.009453054124605842
495616,524,468215.8350000001,945,486.11,121,-1.3077819637954236,-0.005427037365734577,0.8665749579668045,0.0013283945,0.05,4640,0.00025,0.270068359375,-0.0049175526772160085,0.003985698436736129
499712,526,371071.57700000005,949,471.81,122,-1.2805937238037586,-0.001048695994541049,0.9310287237167358,0.0013193839,0.05,4650,0.00025,0.2131591796875,-0.003375423586112447,0.005723864768515341
503808,528,332838.035,953,438.04,123,-1.312660464644432,-0.0034510367549955845,0.9261543825268745,0.0013873582,0.05,4660,0.00025,0.2621337890625,-0.006424065984901972,0.004504604125395417
